output loss: 0.1713206171989441, output weight: 1.0
task loss: 0.4264236092567444, task weight: 1.0
feature loss: 29.226335525512695, feature weight: 0.01
output loss: 0.17788158357143402, output weight: 1.0
task loss: 0.3184815049171448, task weight: 1.0
feature loss: 29.22075080871582, feature weight: 0.01
output loss: 0.17310810089111328, output weight: 1.0
task loss: 0.34205982089042664, task weight: 1.0
feature loss: 29.213510513305664, feature weight: 0.01
output loss: 0.19091348350048065, output weight: 1.0
task loss: 0.32546529173851013, task weight: 1.0
feature loss: 29.198530197143555, feature weight: 0.01
output loss: 0.1886177957057953, output weight: 1.0
task loss: 0.3625558614730835, task weight: 1.0
feature loss: 29.193063735961914, feature weight: 0.01
output loss: 0.17456305027008057, output weight: 1.0
task loss: 0.29220515489578247, task weight: 1.0
feature loss: 29.184659957885742, feature weight: 0.01
output loss: 0.1973591148853302, output weight: 1.0
task loss: 0.3248145580291748, task weight: 1.0
feature loss: 29.170015335083008, feature weight: 0.01
output loss: 0.21085615456104279, output weight: 1.0
task loss: 0.39633995294570923, task weight: 1.0
feature loss: 29.167949676513672, feature weight: 0.01
output loss: 0.17960962653160095, output weight: 1.0
task loss: 0.2385721504688263, task weight: 1.0
feature loss: 29.147022247314453, feature weight: 0.01
output loss: 0.21852457523345947, output weight: 1.0
task loss: 0.39550232887268066, task weight: 1.0
feature loss: 29.137554168701172, feature weight: 0.01
output loss: 0.21450231969356537, output weight: 1.0
task loss: 0.26133230328559875, task weight: 1.0
feature loss: 29.12964630126953, feature weight: 0.01
output loss: 0.17883403599262238, output weight: 1.0
task loss: 0.24448123574256897, task weight: 1.0
feature loss: 29.107837677001953, feature weight: 0.01
output loss: 0.1930311918258667, output weight: 1.0
task loss: 0.20352423191070557, task weight: 1.0
feature loss: 29.08567237854004, feature weight: 0.01
output loss: 0.17943744361400604, output weight: 1.0
task loss: 0.36125946044921875, task weight: 1.0
feature loss: 29.073902130126953, feature weight: 0.01
output loss: 0.1856604516506195, output weight: 1.0
task loss: 0.41658419370651245, task weight: 1.0
feature loss: 29.04976463317871, feature weight: 0.01
output loss: 0.21483319997787476, output weight: 1.0
task loss: 0.2829791009426117, task weight: 1.0
feature loss: 29.01556396484375, feature weight: 0.01
output loss: 0.1872560828924179, output weight: 1.0
task loss: 0.40795210003852844, task weight: 1.0
feature loss: 28.9996337890625, feature weight: 0.01
output loss: 0.17788353562355042, output weight: 1.0
task loss: 0.2384183555841446, task weight: 1.0
feature loss: 29.060089111328125, feature weight: 0.01
output loss: 0.17401191592216492, output weight: 1.0
task loss: 0.27261820435523987, task weight: 1.0
feature loss: 28.98216438293457, feature weight: 0.01
output loss: 0.17175978422164917, output weight: 1.0
task loss: 0.20825229585170746, task weight: 1.0
feature loss: 29.034542083740234, feature weight: 0.01
output loss: 0.1649075150489807, output weight: 1.0
task loss: 0.48789215087890625, task weight: 1.0
feature loss: 29.066566467285156, feature weight: 0.01
output loss: 0.15892571210861206, output weight: 1.0
task loss: 0.3327597677707672, task weight: 1.0
feature loss: 29.017648696899414, feature weight: 0.01
output loss: 0.183291956782341, output weight: 1.0
task loss: 0.3656671643257141, task weight: 1.0
feature loss: 28.93659210205078, feature weight: 0.01
output loss: 0.1531538963317871, output weight: 1.0
task loss: 0.3790218234062195, task weight: 1.0
feature loss: 28.991769790649414, feature weight: 0.01
output loss: 0.1839412897825241, output weight: 1.0
task loss: 0.5308560729026794, task weight: 1.0
feature loss: 28.992263793945312, feature weight: 0.01
output loss: 0.1889408528804779, output weight: 1.0
task loss: 0.34154465794563293, task weight: 1.0
feature loss: 28.928504943847656, feature weight: 0.01
output loss: 0.15846431255340576, output weight: 1.0
task loss: 0.41729792952537537, task weight: 1.0
feature loss: 28.927040100097656, feature weight: 0.01
output loss: 0.18208515644073486, output weight: 1.0
task loss: 0.30542242527008057, task weight: 1.0
feature loss: 28.94695281982422, feature weight: 0.01
output loss: 0.17233622074127197, output weight: 1.0
task loss: 0.3076786994934082, task weight: 1.0
feature loss: 28.934654235839844, feature weight: 0.01
output loss: 0.15744604170322418, output weight: 1.0
task loss: 0.36619409918785095, task weight: 1.0
feature loss: 28.88459587097168, feature weight: 0.01
output loss: 0.17786352336406708, output weight: 1.0
task loss: 0.31810227036476135, task weight: 1.0
feature loss: 28.865129470825195, feature weight: 0.01
output loss: 0.1658446490764618, output weight: 1.0
task loss: 0.46960514783859253, task weight: 1.0
feature loss: 28.874448776245117, feature weight: 0.01
output loss: 0.15930664539337158, output weight: 1.0
task loss: 0.25516605377197266, task weight: 1.0
feature loss: 28.83559226989746, feature weight: 0.01
output loss: 0.16989374160766602, output weight: 1.0
task loss: 0.2937246859073639, task weight: 1.0
feature loss: 28.819360733032227, feature weight: 0.01
output loss: 0.1453418880701065, output weight: 1.0
task loss: 0.357016384601593, task weight: 1.0
feature loss: 28.802318572998047, feature weight: 0.01
output loss: 0.16279667615890503, output weight: 1.0
task loss: 0.3112066388130188, task weight: 1.0
feature loss: 28.76102066040039, feature weight: 0.01
output loss: 0.1683010458946228, output weight: 1.0
task loss: 0.5478984117507935, task weight: 1.0
feature loss: 28.739280700683594, feature weight: 0.01
output loss: 0.1528756022453308, output weight: 1.0
task loss: 0.3890673816204071, task weight: 1.0
feature loss: 28.690792083740234, feature weight: 0.01
output loss: 0.1537831425666809, output weight: 1.0
task loss: 0.24220383167266846, task weight: 1.0
feature loss: 28.676292419433594, feature weight: 0.01
output loss: 0.18812599778175354, output weight: 1.0
task loss: 0.31762784719467163, task weight: 1.0
feature loss: 28.66840362548828, feature weight: 0.01
output loss: 0.15751367807388306, output weight: 1.0
task loss: 0.29401934146881104, task weight: 1.0
feature loss: 28.656291961669922, feature weight: 0.01
output loss: 0.16846077144145966, output weight: 1.0
task loss: 0.3664981722831726, task weight: 1.0
feature loss: 28.606285095214844, feature weight: 0.01
output loss: 0.15899474918842316, output weight: 1.0
task loss: 0.26028144359588623, task weight: 1.0
feature loss: 28.583641052246094, feature weight: 0.01
output loss: 0.14261402189731598, output weight: 1.0
task loss: 0.28876519203186035, task weight: 1.0
feature loss: 28.62969970703125, feature weight: 0.01
output loss: 0.15528832376003265, output weight: 1.0
task loss: 0.2067781537771225, task weight: 1.0
feature loss: 28.662864685058594, feature weight: 0.01
output loss: 0.1718779057264328, output weight: 1.0
task loss: 0.23436257243156433, task weight: 1.0
feature loss: 28.55088233947754, feature weight: 0.01
output loss: 0.15698620676994324, output weight: 1.0
task loss: 0.3024930953979492, task weight: 1.0
feature loss: 28.65851402282715, feature weight: 0.01
output loss: 0.1423186957836151, output weight: 1.0
task loss: 0.26420173048973083, task weight: 1.0
feature loss: 28.638259887695312, feature weight: 0.01
output loss: 0.18885739147663116, output weight: 1.0
task loss: 0.30683302879333496, task weight: 1.0
feature loss: 28.64952850341797, feature weight: 0.01
output loss: 0.13815200328826904, output weight: 1.0
task loss: 0.3088931143283844, task weight: 1.0
feature loss: 28.61066436767578, feature weight: 0.01
output loss: 0.17536568641662598, output weight: 1.0
task loss: 0.22525732219219208, task weight: 1.0
feature loss: 28.543983459472656, feature weight: 0.01
output loss: 0.162918359041214, output weight: 1.0
task loss: 0.4635649621486664, task weight: 1.0
feature loss: 28.513015747070312, feature weight: 0.01
output loss: 0.16079777479171753, output weight: 1.0
task loss: 0.23483265936374664, task weight: 1.0
feature loss: 28.53762435913086, feature weight: 0.01
output loss: 0.13631460070610046, output weight: 1.0
task loss: 0.41816040873527527, task weight: 1.0
feature loss: 28.516481399536133, feature weight: 0.01
output loss: 0.1439395397901535, output weight: 1.0
task loss: 0.30246418714523315, task weight: 1.0
feature loss: 28.389013290405273, feature weight: 0.01
output loss: 0.14516958594322205, output weight: 1.0
task loss: 0.34593531489372253, task weight: 1.0
feature loss: 28.329669952392578, feature weight: 0.01
output loss: 0.1391659826040268, output weight: 1.0
task loss: 0.4295378625392914, task weight: 1.0
feature loss: 28.437484741210938, feature weight: 0.01
output loss: 0.15222151577472687, output weight: 1.0
task loss: 0.5117779970169067, task weight: 1.0
feature loss: 28.330053329467773, feature weight: 0.01
output loss: 0.17837825417518616, output weight: 1.0
task loss: 0.37324628233909607, task weight: 1.0
feature loss: 28.36992645263672, feature weight: 0.01
output loss: 0.13558247685432434, output weight: 1.0
task loss: 0.3455258905887604, task weight: 1.0
feature loss: 28.36586570739746, feature weight: 0.01
output loss: 0.16952696442604065, output weight: 1.0
task loss: 0.2581416070461273, task weight: 1.0
feature loss: 28.307811737060547, feature weight: 0.01
output loss: 0.14562292397022247, output weight: 1.0
task loss: 0.31413501501083374, task weight: 1.0
feature loss: 28.312414169311523, feature weight: 0.01
output loss: 0.15521913766860962, output weight: 1.0
task loss: 0.2966500222682953, task weight: 1.0
feature loss: 28.298871994018555, feature weight: 0.01
output loss: 0.15681636333465576, output weight: 1.0
task loss: 0.31256699562072754, task weight: 1.0
feature loss: 28.17559814453125, feature weight: 0.01
output loss: 0.15132221579551697, output weight: 1.0
task loss: 0.4347326159477234, task weight: 1.0
feature loss: 28.269763946533203, feature weight: 0.01
output loss: 0.15619303286075592, output weight: 1.0
task loss: 0.321283221244812, task weight: 1.0
feature loss: 28.105257034301758, feature weight: 0.01
output loss: 0.15063828229904175, output weight: 1.0
task loss: 0.34506160020828247, task weight: 1.0
feature loss: 28.044715881347656, feature weight: 0.01
output loss: 0.17147284746170044, output weight: 1.0
task loss: 0.4474319517612457, task weight: 1.0
feature loss: 28.03202247619629, feature weight: 0.01
output loss: 0.147670179605484, output weight: 1.0
task loss: 0.36087289452552795, task weight: 1.0
feature loss: 28.051536560058594, feature weight: 0.01
output loss: 0.14363977313041687, output weight: 1.0
task loss: 0.398230642080307, task weight: 1.0
feature loss: 27.968820571899414, feature weight: 0.01
output loss: 0.14577358961105347, output weight: 1.0
task loss: 0.2606618106365204, task weight: 1.0
feature loss: 27.980724334716797, feature weight: 0.01
output loss: 0.12797999382019043, output weight: 1.0
task loss: 0.2786194384098053, task weight: 1.0
feature loss: 28.0552921295166, feature weight: 0.01
output loss: 0.14735209941864014, output weight: 1.0
task loss: 0.28962162137031555, task weight: 1.0
